,model1,model2,model3,model4,model5,model6
85,4.942139797808104,4.948790211368264,4.918381494858519,3.4393540064626,4.7888740388752495,5.050814151168606
86,4.3820105744769515,5.156992113740803,4.896907491536448,3.007844333310042,4.815319185199337,5.143355871028605
87,4.177353370133767,4.820025796005259,5.034899649023881,3.6776933311712825,4.6681691032691175,5.083386736767217
88,4.440732256874481,5.102835109819667,5.259526802646414,3.061589401086927,4.748657677303318,5.158870474628469
89,4.889290713383276,4.993478651185933,4.7424512920331265,3.8456299846171857,5.022032605890002,5.155904737934578
90,4.6444167481999505,5.198096088180091,5.134605167580614,3.9889212224816877,5.290209740940689,5.117379131460866
91,4.5195369966457495,4.745228343834868,5.129566386671498,3.2603353268622723,5.075711352161778,5.027606024199672
92,4.563377459997064,5.19600098314315,4.395518906309931,3.3267389957737734,4.374209650958576,4.860492102697576
93,4.47046014833681,4.9193871501189035,4.793442733602763,2.937227460571651,4.528554376301662,5.043140503306001
94,4.187175568099339,4.8560150669718665,4.795185342360329,3.5359716254296174,4.596192483868534,5.193653008232821
95,3.690928023949999,4.516741662015858,4.580739614843162,2.1865352465683485,4.356421369623685,4.526150027346531
96,4.053837338795241,4.384604145404328,4.257874416739683,3.3086381791237067,4.086757852485053,4.693374383436457
97,4.416507356397373,4.39578117678601,4.631161697656916,2.9137210883586144,4.582222605468242,4.708097276799248
98,4.198122892611159,4.39821890312858,4.639850900434864,2.8146370338742397,4.313052116055432,4.459540160875041
99,3.7313070533263186,4.608517745805901,4.290791546646688,3.091667221810212,4.369109361550057,4.737747881350345
100,4.646256969495556,5.052743659194744,5.055665426509866,3.5637625517163825,4.686212663454077,5.020869742535031
101,4.660940428710091,5.305998372694868,5.273858863927943,3.5581917048667475,4.935795702829092,5.125304140238478
102,4.775908763376284,4.982316443549332,5.07920799393871,3.6595342937669684,4.751817449632633,4.905937479553338
103,4.0187746726442395,4.792192424532097,4.963041050009505,3.4322171750793853,4.657047118938255,4.953585176436879
104,4.063526553743405,5.05855010362887,5.329756649004622,2.9596275640605145,4.833492673484964,5.116614178105614
105,4.099937331434837,4.735634804563359,4.99249640503287,3.0599116747502446,4.6894164937151075,4.874303789912402
106,4.857622659170037,4.985019244444666,5.268217341863246,2.853804481770931,4.788667922629601,5.107505238226026
107,5.0397938132471625,5.154845153205057,5.112687928361273,3.7310185282585064,4.8875512154389815,5.203751633403267
108,3.9708001517677967,5.216195520834971,4.943642068566867,3.694210047745365,4.607995802679985,5.142957135577349
109,4.979378006503872,5.190140770876617,4.38974032769657,3.234975357889654,4.472253967928874,5.019922706550821
110,4.225297522071498,4.915321693034107,5.130468956725898,3.5278542065455123,4.945069734353819,4.801572294496932
111,4.464009960041897,4.491755515881505,4.6861951863117755,3.0180737331774585,4.409020275620516,4.4415187991721075
112,4.650064757262069,4.74579409655585,4.530722555649933,3.226581761152185,4.287219326728218,4.665649325818154
113,4.101122161996878,4.402088302528768,4.398201587244519,2.502379199902958,4.343392944359953,4.498822575099586
114,4.100683415641936,4.4056036705269195,4.407147700973946,3.031138047489349,4.184986096443985,4.662486780837777
115,4.061198962235812,4.4451460080983765,4.537342232242981,2.4198312308974477,4.376495533497792,4.613183586004529
116,3.930369206883941,4.504590698072282,4.590792247347852,3.043141463060304,4.441797271702898,4.862943747329823
117,4.455086178553992,4.270841630190238,4.8622264057738915,2.6711797938423274,4.055279748738893,4.652154222924986
118,4.456910821709968,4.686913486536796,4.528720984335678,3.282180684822767,4.420794885441226,4.7736821978990065
119,4.511412236715826,4.450794734231749,4.801537868189321,2.4723285116564453,4.64179520615924,4.655201556258459
120,3.7698824959177375,4.139629814084499,4.777965621051255,2.383063437471338,4.298678423619509,4.599628404704218
121,4.3856571879635275,4.47558252917681,4.61947812088523,2.2791517224393676,4.263858727097246,4.59989030248835
122,4.115835610863184,5.182775227716164,5.306287411996437,2.8003737395293364,4.730041162730972,5.140401174379532
123,4.4811810685245534,5.16383281467686,5.149911022774313,3.6161975870815186,4.597596723999565,5.236575455516664
124,4.3724198532924365,4.780652781085401,4.977352416244872,3.2131510020206275,4.4385963911440856,5.063256002390122
125,4.421047565409638,5.04219426669439,5.220546385920172,3.6939141058664675,5.006327106041666,5.02642861926274
126,4.987455223819492,4.7851284035332995,5.116223351078422,3.0966443597591757,4.790990995307469,4.9887102841306685
127,4.328677025083083,5.026052151886732,4.983367684588578,3.5402211949482103,4.608267539771823,4.927979162619005
128,5.022590672105206,5.064210070782958,4.874082486081798,3.4253659318610836,4.7476208715625035,5.091982076963525
129,4.615233035863383,5.07047048592499,4.903195277667545,3.588744650654406,4.647923534581455,5.237563939261013
130,4.103159907318402,4.888603847171852,4.544392605481806,3.4615216648900367,4.759155550953738,5.169892248623206
